,id,name,event_id,start_date,end_date,title,photo_url
1202,75027,Kream,NA,NA,NA,NA,NA
1203,18289339,Culture Club - Bar De Tapas,NA,NA,NA,NA,NA
1204,75380,The Black Bamboo,NA,NA,NA,NA,NA
1205,75858,Crawdaddy's,NA,NA,NA,NA,NA
1206,75376,Tribeca Standard,NA,NA,NA,NA,NA
1207,18408129,Industrial Coffee Works,NA,NA,NA,NA,NA
1208,75026,Baobab Cafe & Grill,NA,NA,NA,NA,NA
1209,75485,Doppio Zero,NA,NA,NA,NA,NA
1210,18199742,El Pistolero,NA,NA,NA,NA,NA
1211,18445965,Guy Fieri's Kitchen & Bar,NA,NA,NA,NA,NA
1212,75121,Moo Moo,NA,NA,NA,NA,NA
1213,75104,Parrot's,NA,NA,NA,NA,NA
1214,18376958,Mustang Sally's Pub & Diner,NA,NA,NA,NA,NA
1215,18136493,Hogshead,NA,NA,NA,NA,NA
1216,18445936,Something's Cooking by J,NA,NA,NA,NA,NA
1217,18199767,Carbon Bistro,NA,NA,NA,NA,NA
1218,18376953,tashas,NA,NA,NA,NA,NA
1219,75620,Whisk Wine Bar,NA,NA,NA,NA,NA
1220,7601024,Ting Thai Caravan,NA,NA,NA,NA,NA
1221,7600188,Mother India's Cafe,NA,NA,NA,NA,NA
1222,7601102,Chaophraya,NA,NA,NA,NA,NA
1223,7600471,The Elephant House,NA,NA,NA,NA,NA
1224,18408677,Dishoom Edinburgh,NA,NA,NA,NA,NA
1225,7600929,David Bann,NA,NA,NA,NA,NA
1226,7602204,El Cartel,NA,NA,NA,NA,NA
1227,7600432,The Royal McGregor,NA,NA,NA,NA,NA
1228,7600217,La Favorita,NA,NA,NA,NA,NA
1229,7600062,Hard Rock Cafe,NA,NA,NA,NA,NA
1230,7600307,Angels With Bagpipes,NA,NA,NA,NA,NA
1231,7600448,Cafe Andaluz,NA,NA,NA,NA,NA
1232,7600902,Mimi's Bakehouse,NA,NA,NA,NA,NA
1233,7600792,Wedgwood,NA,NA,NA,NA,NA
1234,7601241,The Kitchin,NA,NA,NA,NA,NA
1235,7600083,Castle Terrace,NA,NA,NA,NA,NA
1236,7600381,Fishers In The City,NA,NA,NA,NA,NA
1237,7601177,Tuk Tuk Indian Street Food,NA,NA,NA,NA,NA
1238,7600914,The Witchery & The Secret Garden,NA,NA,NA,NA,NA
1239,7600636,Number One - Balmoral Hotel,NA,NA,NA,NA,NA
