id,name,event_id,start_date,end_date,title,photo_url
94402,4M Biryani House,333451.0,2019-04-01,2020-03-31,Early Bird Offer on Buffet!,['https://b.zmtcdn.com/data/zomato_events/photos/d3c/6c736ceb55aa545c4e1f2af77eedcd3c_1554060000.jpeg']
18938720,Coal Barbecues,333452.0,2019-04-01,2020-03-31,Corporate Offers at The Black Pearl Chennai,"['https://b.zmtcdn.com/data/zomato_events/photos/2a6/63e054b62fcfe8112849cdb1258c62a6_1554060137.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/36b/baa350b182a0203a2a178b0d0669e36b_1554060137.jpeg']"
18800810,The Black Pearl,333454.0,2019-04-01,2020-03-31,Special offers for Senior citizens and Complimentary mocktail per diner!,"['https://b.zmtcdn.com/data/zomato_events/photos/dce/b9709e5ea858d44222bedcfed3f62dce_1554060234.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/002/e9c6823f503faabcdd1f7bdac2c6c002_1554060234.jpeg']"
